label,text
ham,Hey John, are we still on for coffee tomorrow?
spam,Congratulations! You've won a $1000 gift card. Click here to claim now.
ham,Can you review the report I sent earlier?
spam,You have been selected for a free vacation. Reply with your details.
ham,Lets push the update to production after tests pass.
spam,Lowest prices on meds, no prescription needed!
ham,Reminder: team meeting at 10am in the main conference room.
spam,Act now to secure your loan with no credit check!
ham,Thanks for the help yesterday. It worked great.
spam,Exclusive offer: buy one get one free on all items today!
